Timestamp,Temperatura (C),Humedad (%)
2026-03-03 18:22:37,30.50,73.80
2026-03-03 18:27:48,30.60,72.80
2026-03-03 18:27:58,30.60,72.90
2026-03-03 18:28:08,30.60,72.90
2026-03-03 18:28:18,30.60,73.10
2026-03-03 18:28:28,30.60,73.10
2026-03-03 18:28:38,30.60,73.00
2026-03-03 18:28:48,30.70,74.30
2026-03-03 18:28:58,30.70,73.50
2026-03-03 18:29:09,30.70,72.90
2026-03-03 18:29:19,30.70,72.70
2026-03-03 18:29:29,30.70,72.60
2026-03-03 18:29:39,30.70,72.50
2026-03-03 18:29:49,30.70,72.40
2026-03-03 18:29:59,30.70,72.50
2026-03-03 18:30:09,30.70,72.50
2026-03-03 18:30:19,30.70,72.50
2026-03-03 18:30:29,30.80,72.60
2026-03-03 18:30:39,30.70,72.50
2026-03-03 18:30:49,30.70,72.40
2026-03-03 18:30:59,30.70,72.60
2026-03-03 18:31:09,30.80,72.60
2026-03-03 18:31:19,30.80,72.60
2026-03-03 18:31:29,30.80,72.60
2026-03-03 18:31:39,30.80,72.60
2026-03-03 18:31:49,30.80,72.60
2026-03-03 18:31:59,30.80,72.60
2026-03-03 18:32:09,30.80,72.60
2026-03-03 18:32:19,30.80,72.60
2026-03-03 18:32:29,30.80,72.60
2026-03-03 18:32:39,30.80,72.60
2026-03-03 18:32:49,30.80,72.60
2026-03-03 18:32:59,30.80,72.50
2026-03-03 18:33:09,30.80,72.50
2026-03-03 18:33:19,30.80,72.50
2026-03-03 18:33:29,30.80,72.40
2026-03-03 18:33:40,30.80,72.50
2026-03-03 18:33:50,30.90,72.40
2026-03-03 18:34:00,30.80,72.60
2026-03-03 18:34:10,30.80,72.60
2026-03-03 18:34:20,30.70,72.80
2026-03-03 18:34:30,30.70,72.80
2026-03-03 18:34:40,30.70,72.90
2026-03-03 18:34:50,30.70,72.90
2026-03-03 18:35:00,30.70,72.70
2026-03-03 18:35:10,30.70,72.70
2026-03-03 18:35:20,30.70,72.70
2026-03-03 18:35:30,30.80,72.70
2026-03-03 18:35:40,30.80,72.60
2026-03-03 18:35:50,30.80,72.60
2026-03-03 18:36:00,30.80,72.50
2026-03-03 18:36:10,30.80,72.50
2026-03-03 18:36:20,30.80,72.50
2026-03-03 18:36:30,30.90,72.40
2026-03-03 18:36:40,30.90,72.30
2026-03-03 18:36:50,30.90,72.30
2026-03-03 18:37:00,30.90,72.30
2026-03-03 18:37:10,30.90,72.20
2026-03-03 18:37:20,30.90,72.20
2026-03-03 18:37:30,31.00,72.10
2026-03-03 18:37:40,31.00,72.10
2026-03-03 18:37:50,31.00,72.00
2026-03-03 18:38:00,31.00,71.90
2026-03-03 18:38:11,31.00,71.80
2026-03-03 18:38:21,31.10,71.80
2026-03-03 18:38:31,31.10,71.70
2026-03-03 18:38:41,31.10,71.70
2026-03-03 18:38:51,31.10,71.60
2026-03-03 18:39:01,31.10,71.50
2026-03-03 18:39:11,31.10,71.50
2026-03-03 18:39:21,31.10,71.50
2026-03-03 18:39:31,31.10,71.50
2026-03-03 18:39:41,31.10,71.40
2026-03-03 18:39:51,31.20,71.50
2026-03-03 18:40:01,31.20,71.40
2026-03-03 18:40:11,31.20,71.40
2026-03-03 18:40:21,31.20,71.30
2026-03-03 18:40:31,31.20,71.30
2026-03-03 18:40:41,31.20,71.30
2026-03-03 18:40:51,31.20,71.20
2026-03-03 18:41:01,31.20,71.20
2026-03-03 18:41:11,31.20,71.20
2026-03-03 18:41:21,31.20,71.10
2026-03-03 18:41:31,31.20,71.10
2026-03-03 18:41:41,31.20,71.00
2026-03-03 18:41:51,31.20,71.00
2026-03-03 18:42:01,31.30,71.00
2026-03-03 18:42:11,31.30,71.00
2026-03-03 18:42:21,31.30,71.00
2026-03-03 18:42:31,31.30,70.90
2026-03-03 18:42:42,31.30,70.90
2026-03-03 18:42:52,31.30,70.90
2026-03-03 18:43:02,31.30,70.80
2026-03-03 18:43:12,31.30,70.80
2026-03-03 18:43:22,31.30,70.90
2026-03-03 18:43:32,31.30,70.70
2026-03-03 18:43:42,31.30,70.80
2026-03-03 18:43:52,31.30,70.70
2026-03-03 18:44:02,31.30,70.70
2026-03-03 18:44:12,31.30,70.70
2026-03-03 18:44:22,31.30,70.70
2026-03-03 18:44:32,31.30,70.70
2026-03-03 18:44:42,31.30,70.60
2026-03-03 18:44:52,31.40,70.70
2026-03-03 18:45:02,31.40,70.60
2026-03-03 18:45:12,31.40,70.60
2026-03-03 18:45:22,31.40,70.60
2026-03-03 18:45:32,31.40,70.60
2026-03-03 18:45:42,31.40,70.50
2026-03-03 18:45:52,31.40,70.60
2026-03-03 18:46:02,31.40,70.50
2026-03-03 18:46:12,31.40,70.50
2026-03-03 18:46:22,31.40,70.50
2026-03-03 18:46:32,31.40,70.50
2026-03-03 18:46:42,31.40,70.40
2026-03-03 18:46:52,31.40,70.40
2026-03-03 18:47:02,31.40,70.40
2026-03-03 18:47:13,31.40,70.40
2026-03-03 18:47:23,31.40,70.30
2026-03-03 18:47:33,31.40,70.30
2026-03-03 18:47:43,31.40,70.30
2026-03-03 18:47:53,31.40,70.20
2026-03-03 18:48:03,31.40,70.20
2026-03-03 18:48:13,31.40,70.20
2026-03-03 18:48:23,31.40,70.20
2026-03-03 18:48:33,31.40,70.20
2026-03-03 18:48:43,31.40,70.20
2026-03-03 18:48:53,31.40,70.20
2026-03-03 18:49:03,31.40,70.10
2026-03-03 18:49:13,31.40,70.10
2026-03-03 18:49:23,31.50,70.20
2026-03-03 18:49:33,31.50,70.20
2026-03-03 18:49:43,31.50,70.20
2026-03-03 18:49:53,31.50,70.10
2026-03-03 18:50:03,31.50,70.10
2026-03-03 18:50:13,31.50,70.10
2026-03-03 18:50:23,31.50,70.00
2026-03-03 18:50:33,31.50,70.00
2026-03-03 18:50:43,31.50,70.00
2026-03-03 18:50:53,31.50,70.00
2026-03-03 18:51:03,31.50,70.00
2026-03-03 18:51:13,31.50,70.00
2026-03-03 18:51:23,31.50,70.00
2026-03-03 18:51:33,31.50,69.90
2026-03-03 18:51:44,31.50,69.90
2026-03-03 18:51:54,31.50,69.80
2026-03-03 18:52:04,31.50,69.80
2026-03-03 18:52:14,31.50,69.80
2026-03-03 18:52:24,31.50,69.80
2026-03-03 18:52:34,31.50,69.80
2026-03-03 18:52:44,31.50,69.80
2026-03-03 18:52:54,31.50,69.80
2026-03-03 18:53:04,31.50,69.70
2026-03-03 18:53:14,31.50,69.70
2026-03-03 18:53:24,31.60,69.70
2026-03-03 18:53:34,31.60,69.70
2026-03-03 18:53:44,31.60,69.70
2026-03-03 18:53:54,31.60,69.70
2026-03-03 18:54:04,31.60,69.70
2026-03-03 18:54:14,31.50,69.70
2026-03-03 18:54:24,31.60,69.70
2026-03-03 18:54:34,31.60,69.70
2026-03-03 18:54:44,31.60,69.70
2026-03-03 18:54:54,31.60,69.70
2026-03-03 18:55:04,31.60,69.70
2026-03-03 18:55:14,31.60,69.60
2026-03-03 18:55:24,31.60,69.60
2026-03-03 18:55:34,31.60,69.70
2026-03-03 18:55:44,31.60,69.60
2026-03-03 18:55:54,31.60,69.50
2026-03-03 18:56:04,31.60,69.60
2026-03-03 18:56:15,31.60,69.60
2026-03-03 18:56:25,31.60,69.50
2026-03-03 18:56:35,31.60,69.50
2026-03-03 18:56:45,31.60,69.50
2026-03-03 18:56:55,31.60,69.50
2026-03-03 18:57:05,31.60,69.50
2026-03-03 18:57:15,31.60,69.50
2026-03-03 18:57:25,31.60,69.50
2026-03-03 18:57:35,31.60,69.50
2026-03-03 18:57:45,31.60,69.40
2026-03-03 18:57:55,31.60,69.50
2026-03-03 18:58:05,31.60,69.40
2026-03-03 18:58:15,31.60,69.40
2026-03-03 18:58:25,31.60,69.40
2026-03-03 18:58:35,31.60,69.40
2026-03-03 18:58:45,31.60,69.40
2026-03-03 18:58:55,31.60,69.40
2026-03-03 18:59:05,31.60,69.50
2026-03-03 18:59:15,31.60,69.40
2026-03-03 18:59:25,31.60,69.40
2026-03-03 18:59:35,31.60,69.50
2026-03-03 18:59:45,31.60,69.50
2026-03-03 18:59:55,31.60,69.50
